"mini_binge_drinking_2012.state","mini_binge_drinking_2012.min(both_sexes_2012)"
Alabama, 8.6
Alaska,14.6
Arizona,14.9
Arkansas,12.1
California,15.0
Colorado, 9.2
Connecticut,18.2
Delaware,17.5
District Of Columbia,22.0
Florida,12.1
Georgia,10.4
Hawaii,19.7
Idaho, 5.9
Illinois,14.7
Indiana,14.1
Iowa,20.4
Kansas,14.2
Kentucky, 8.5
Louisiana,11.5
Maine,18.2
Maryland,14.8
Massachusetts,20.5
Michigan,18.5
Minnesota,19.7
Mississippi, 9.0
Missouri,13.5
Montana,18.2
National,18.3
Nebraska,16.3
Nevada,16.2
New Hampshire,18.7
New Jersey,16.0
New Mexico,12.4
New York,16.1
North Carolina,10.8
North Dakota,20.9
Ohio,13.7
Oklahoma,11.0
Oregon,15.1
Pennsylvania,14.6
Rhode Island,19.4
South Carolina,11.9
South Dakota,17.4
Tennessee, 7.1
Texas,10.8
Utah, 6.5
Vermont,19.4
Virginia, 9.1
Washington,14.7
West Virginia, 9.0
Wisconsin,23.2
Wyoming,14.4
